theta_E_D_1,theta_E_D_2,theta_E_D_3,theta_E_D_4,theta_E_D_5,theta_E_D_6,theta_E_D_7,theta_E_D_8,theta_E_D_9,theta_E_D_10,theta_E_D_11,theta_E_D_12,theta_E_D_13,theta_E_D_14,theta_E_D_15,theta_E_D_16,theta_E_D_17,theta_E_D_18,theta_E_D_19,theta_E_D_20,Sujeto,clase
8.0,2.0,3.0,29.0,3.0,11.0,20.0,13.0,19.0,12.0,5.0,0.0,7.0,28.0,11.0,19.0,14.0,0.0,20.0,4.0,A10GUAC,A
61.0,67.0,90.0,67.0,98.0,61.0,45.0,82.0,57.0,66.0,13.0,12.0,73.0,63.0,47.0,39.0,53.0,60.0,98.0,39.0,A11BRCA,A
3.0,66.0,97.0,99.0,97.0,59.0,102.0,89.0,80.0,102.0,86.0,97.0,15.0,103.0,97.0,1.0,81.0,87.0,0.0,76.0,A12CAPA,A
53.0,38.0,51.0,47.0,32.0,20.0,1.0,37.0,6.0,6.0,30.0,12.0,29.0,35.0,37.0,30.0,8.0,10.0,12.0,34.0,A13RIVI,A
49.0,40.0,42.0,30.0,1.0,10.0,37.0,47.0,3.0,54.0,13.0,26.0,18.0,41.0,34.0,26.0,12.0,0.0,38.0,1.0,A14RARO,A
152.0,152.0,136.0,152.0,152.0,152.0,0.0,152.0,152.0,136.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,A15GOGA,A
70.0,43.0,61.0,61.0,53.0,20.0,87.0,70.0,87.0,60.0,69.0,35.0,0.0,87.0,92.0,77.0,72.0,18.0,15.0,15.0,A17MUSI,A
11.0,9.0,14.0,26.0,6.0,25.0,21.0,21.0,25.0,25.0,9.0,12.0,25.0,10.0,2.0,13.0,1.0,26.0,11.0,5.0,A1ARVAE,A
153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,0.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,A21AGLO,A
123.0,110.0,112.0,119.0,110.0,119.0,110.0,123.0,85.0,28.0,116.0,112.0,1.0,117.0,103.0,112.0,10.0,91.0,50.0,100.0,A22SAHE,A
28.0,33.0,23.0,12.0,19.0,15.0,10.0,19.0,13.0,13.0,28.0,17.0,0.0,26.0,31.0,33.0,12.0,3.0,28.0,36.0,A24FLMA,A
71.0,82.0,22.0,12.0,45.0,37.0,76.0,13.0,82.0,72.0,84.0,58.0,3.0,90.0,44.0,59.0,60.0,66.0,67.0,43.0,A52CUCA,A
14.0,39.0,29.0,38.0,42.0,10.0,20.0,37.0,37.0,37.0,9.0,33.0,14.0,17.0,21.0,17.0,21.0,6.0,7.0,23.0,A9AYAND,A
71.0,49.0,85.0,89.0,79.0,61.0,61.0,89.0,25.0,10.0,11.0,51.0,44.0,40.0,1.0,40.0,62.0,57.0,40.0,43.0,B9BENIE,M
152.0,152.0,136.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,0.0,152.0,152.0,152.0,136.0,152.0,152.0,152.0,M12SAES,M
144.0,144.0,66.0,144.0,144.0,144.0,133.0,102.0,144.0,144.0,144.0,133.0,0.0,144.0,144.0,133.0,120.0,120.0,120.0,144.0,M19NAMO,M
148.0,148.0,104.0,148.0,148.0,134.0,148.0,118.0,148.0,148.0,120.0,148.0,0.0,134.0,148.0,133.0,148.0,148.0,148.0,148.0,M24SAME,M
86.0,95.0,65.0,95.0,86.0,100.0,95.0,55.0,95.0,95.0,18.0,9.0,95.0,84.0,94.0,93.0,0.0,0.0,80.0,52.0,M27MUAG,M
131.0,83.0,44.0,131.0,86.0,122.0,118.0,118.0,98.0,77.0,95.0,83.0,86.0,131.0,110.0,107.0,131.0,122.0,0.0,122.0,M3ESDIR,M
14.0,55.0,34.0,43.0,44.0,45.0,56.0,36.0,46.0,41.0,19.0,40.0,0.0,26.0,45.0,8.0,3.0,25.0,6.0,8.0,M7FLSAA,M
135.0,135.0,135.0,144.0,144.0,146.0,131.0,144.0,3.0,47.0,144.0,144.0,135.0,135.0,135.0,120.0,144.0,144.0,144.0,135.0,M8AVGUK,M
146.0,146.0,109.0,140.0,140.0,140.0,140.0,128.0,140.0,115.0,146.0,140.0,21.0,97.0,134.0,97.0,103.0,140.0,78.0,103.0,M9SAAND,M
