despues_E_delta_1,despues_E_delta_2,despues_E_delta_3,despues_E_delta_4,despues_E_delta_5,despues_E_delta_6,despues_E_delta_7,despues_E_delta_8,despues_E_delta_9,despues_E_delta_10,despues_E_delta_11,despues_E_delta_12,despues_E_delta_13,despues_E_delta_14,despues_E_delta_15,despues_E_delta_16,despues_E_delta_17,despues_E_delta_18,despues_E_delta_19,Sujeto,Clase
20,23,19,22,9,24,19,14,22,20,15,24,24,14,5,14,23,24,10,A10GUAC,A
105,121,105,111,127,21,61,76,127,127,121,100,121,121,111,116,77,66,100,A11BRCA,A
20,1,18,44,32,22,20,32,10,17,30,8,3,10,21,26,15,44,26,A12CAPA,A
14,21,35,60,55,30,55,56,13,64,49,14,4,44,49,35,42,42,41,A13RIVI,A
132,105,132,132,132,1,132,133,132,132,119,132,119,132,132,92,132,132,118,A14RARO,A
56,40,76,61,56,50,5,61,48,21,62,48,17,19,35,41,48,3,24,A15GOGA,A
41,47,54,25,18,34,21,29,47,54,25,41,47,52,23,20,45,51,37,A17MUSI,A
59,50,101,101,8,15,68,90,106,101,105,90,101,83,74,96,74,57,55,A18RURI,A
3,82,83,90,66,40,28,82,74,67,67,1,47,53,66,80,32,53,39,A19MOEP,A
112,0,66,99,99,112,94,99,101,94,99,62,95,94,106,106,31,18,106,A1ARVAE,A
76,48,51,74,86,80,0,85,76,13,56,21,86,60,76,71,57,0,76,A21AGLO,A
46,38,11,8,26,41,4,10,46,41,10,46,46,47,13,18,39,34,10,A22SAHE,A
125,129,129,136,66,111,129,129,129,129,28,111,136,129,125,115,125,115,136,A24FLMA,A
12,21,56,49,48,12,2,42,45,53,38,3,29,46,20,63,3,60,67,A27HECE,A
50,39,0,41,1,1,36,29,30,50,57,56,30,15,52,41,11,9,43,A28TOPA,A
116,126,126,117,126,67,126,126,115,126,116,116,55,115,126,116,1,115,115,A52CUCA,A
29,23,23,24,2,20,20,16,21,39,24,25,21,23,26,0,21,21,6,A8ESSAI,A
36,29,40,11,14,35,11,3,38,31,11,35,17,4,7,26,16,29,15,A9AYAND,A
34,17,19,40,45,26,40,34,18,4,36,36,8,36,50,40,25,20,36,M9BENIE,M
41,63,87,87,21,88,87,77,73,83,83,15,88,88,94,27,100,0,67,M10CAUR,M
16,29,25,37,17,8,4,29,16,37,30,33,15,33,35,17,13,24,29,M11BADE,M
45,61,10,49,9,0,21,49,56,15,1,54,15,56,56,51,53,49,16,M12SAES,M
20,15,3,22,14,1,10,4,6,1,17,8,15,14,17,12,4,18,3,M13FECA,M
54,67,76,48,43,59,5,44,76,60,76,7,65,76,60,67,3,2,39,M16ARVE,M
19,18,28,15,8,8,22,7,29,20,19,22,33,20,10,8,22,21,1,M17GOSE,M
118,111,111,89,10,66,111,32,118,118,100,111,118,111,111,89,88,77,111,M18HUME,M
76,66,31,72,82,10,54,79,83,6,46,58,64,79,79,83,0,0,64,M19NAMO,M
25,46,44,39,57,9,10,57,53,58,13,61,47,51,66,17,23,61,13,M21SANA,M
33,34,81,84,45,50,10,73,93,93,44,57,92,51,101,77,75,71,87,M22HUGU,M
26,35,46,27,27,26,52,47,46,41,21,26,51,46,27,36,15,0,47,M23SACA,M
51,45,13,55,54,28,14,62,60,45,50,39,0,13,6,55,4,38,34,M24SAME,M
0,5,50,58,72,40,8,50,47,58,67,18,51,56,67,67,12,79,50,M25MAVI,M
34,46,46,42,20,4,44,29,31,33,14,19,19,27,47,47,4,7,42,M27MUAG,M
8,66,72,68,54,16,0,72,38,68,61,11,47,54,68,54,3,45,68,M28NUCO,M
29,16,4,15,23,26,14,26,23,1,18,20,21,6,25,22,16,17,23,M3ESDIR,M
99,70,109,44,79,109,91,91,83,113,53,64,62,83,10,56,55,109,102,M7FLSAA,M
73,73,62,72,20,70,35,68,74,0,64,9,67,66,76,15,35,15,84,M8AVGUK,M
36,100,49,108,83,108,66,76,108,91,76,35,86,85,74,93,66,1,108,M9SAAND,M
