despues_E_sf_1,despues_E_sf_2,despues_E_sf_3,despues_E_sf_4,despues_E_sf_5,despues_E_sf_6,despues_E_sf_7,despues_E_sf_8,despues_E_sf_9,despues_E_sf_10,despues_E_sf_11,despues_E_sf_12,despues_E_sf_13,despues_E_sf_14,despues_E_sf_15,despues_E_sf_16,despues_E_sf_17,despues_E_sf_18,despues_E_sf_19,Sujeto,Clase
0,7,24,22,17,0,3,24,6,20,27,0,2,25,22,4,0,0,4,A10GUAC,A
0,8,16,13,12,0,0,6,15,23,17,7,17,12,14,6,5,0,0,A11BRCA,A
0,9,16,18,22,1,0,3,4,21,24,0,0,3,20,13,0,2,6,A12CAPA,A
2,3,17,11,12,1,1,4,9,18,8,2,6,5,11,6,2,4,7,A13RIVI,A
23,8,52,28,10,22,29,10,19,44,35,7,13,29,46,30,0,22,23,A14RARO,A
5,19,39,28,24,3,0,28,21,25,28,23,26,41,40,11,13,14,14,A15GOGA,A
0,8,8,20,3,2,0,7,8,16,24,1,11,21,20,5,1,1,6,A17MUSI,A
2,1,11,18,12,3,1,2,11,21,18,0,4,19,26,20,3,9,8,A18RURI,A
8,1,30,37,12,1,1,11,25,24,23,0,20,20,40,15,15,14,0,A19MOEP,A
18,1,1,43,21,3,6,40,13,17,26,12,25,23,20,15,4,3,33,A1ARVAE,A
0,2,38,31,33,0,0,20,20,33,41,0,7,35,41,33,0,0,26,A21AGLO,A
4,10,3,17,4,0,0,1,20,19,21,0,6,23,20,24,5,0,6,A22SAHE,A
62,83,95,95,0,85,51,98,95,95,6,64,73,95,84,78,88,0,73,A24FLMA,A
0,1,13,11,3,1,0,5,22,17,19,0,12,10,20,4,0,1,8,A27HECE,A
2,7,12,10,1,0,2,18,17,21,26,8,14,7,18,15,5,0,6,A28TOPA,A
3,3,4,8,3,0,0,4,7,10,7,5,6,7,6,1,0,0,1,A52CUCA,A
0,0,2,13,7,4,0,6,6,6,10,0,1,5,11,9,0,0,7,A8ESSAI,A
9,9,29,16,0,1,0,6,15,12,28,0,6,26,14,17,0,0,10,A9AYAND,A
0,0,13,18,15,0,0,5,2,17,22,0,0,22,17,25,0,0,9,M9BENIE,M
3,8,12,19,14,5,1,8,10,26,17,2,6,5,11,5,4,0,9,M10CAUR,M
8,18,35,28,29,5,0,27,26,44,39,1,1,9,23,28,0,1,14,M11BADE,M
0,3,13,8,0,0,1,3,6,13,13,0,11,8,7,0,1,0,0,M12SAES,M
0,7,16,14,1,0,0,9,12,20,17,1,2,6,15,3,0,0,0,M13FECA,M
5,23,16,6,2,14,5,8,17,19,26,2,11,15,7,4,14,13,0,M16ARVE,M
19,29,40,12,24,21,14,18,30,25,30,16,34,33,20,17,18,11,6,M17GOSE,M
6,17,18,11,8,9,2,8,13,21,22,3,11,21,9,14,11,0,0,M18HUME,M
0,5,7,20,21,0,0,3,13,26,33,0,0,20,23,19,3,1,16,M19NAMO,M
3,24,9,39,17,17,0,17,8,31,13,2,17,15,30,1,5,0,16,M21SANA,M
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,M22HUGU,M
3,12,22,12,14,0,1,19,11,20,25,0,9,24,18,14,0,0,3,M23SACA,M
3,50,54,37,36,34,42,23,45,45,54,1,20,51,31,43,13,21,21,M24SAME,M
5,0,5,9,6,0,0,0,2,8,14,1,1,3,8,5,0,0,2,M25MAVI,M
6,6,0,7,4,6,0,4,6,10,10,1,0,2,5,2,0,0,0,M27MUAG,M
1,16,18,26,21,0,0,17,23,30,36,3,8,21,33,17,0,0,9,M28NUCO,M
0,5,15,19,2,0,0,3,15,20,20,0,0,17,16,3,0,0,15,M3ESDIR,M
1,4,11,6,10,0,6,7,2,12,17,0,0,6,18,7,2,9,8,M7FLSAA,M
6,7,28,26,12,12,6,13,24,37,22,0,0,28,28,19,0,3,11,M8AVGUK,M
13,33,14,20,24,29,0,20,33,44,26,3,6,39,37,19,1,0,29,M9SAAND,M
