durante_Gio_alpha_1,durante_Gio_alpha_2,durante_Gio_alpha_3,durante_Gio_alpha_4,durante_Gio_alpha_5,durante_Gio_alpha_6,durante_Gio_alpha_7,durante_Gio_alpha_8,durante_Gio_alpha_9,durante_Gio_alpha_10,durante_Gio_alpha_11,durante_Gio_alpha_12,durante_Gio_alpha_13,durante_Gio_alpha_14,durante_Gio_alpha_15,durante_Gio_alpha_16,durante_Gio_alpha_17,durante_Gio_alpha_18,durante_Gio_alpha_19,Sujeto,Clase
0.69499,8.7784,10.7897,10.0564,7.5499,7.7518,4.7524,8.7415,5.4756,9.431,8.5734,1.5144,3.9019,9.3045,9.9883,8.3321,2.9557,4.382,1.5765,A18RURI,A
5.2088,6.1002,5.4907,5.3703,4.9406,5.4755,3.2379,4.8113,5.7619,6.535,6.3973,4.6167,6.1517,7.1592,7.3689,4.2275,4.0485,6.2641,7.5561,A19MOEP,A
7.3995,6.4051,5.1063,6.4612,6.1079,9.8307,6.927,1.5393,8.5315,13.2304,6.1463,6.3564,8.3084,10.3616,8.383,5.3857,9.9465,9.0286,7.3472,A27HECE,A
2.4435,7.9949,3.9366,4.7742,3.0244,3.9963,0,5.4315,4.3846,9.4314,6.0339,6.2058,4.7973,4.7611,6.5793,4.7314,3.0086,0,6.2334,A28TOPA,A
7.2692,6.0109,1.9944,8.0907,7.1234,4.4052,1.4277,7.5462,5.0698,2.1491,7.5854,5.1904,4.5858,6.7163,9.066,7.1893,3.0297,3.4606,6.4123,A8ESSAI,A
6.625,4.7679,5.6766,1.3531,2.9385,5.9459,7.3486,4.5406,7.8568,8.3068,7.3592,6.4005,6.7916,6.998,6.0621,3.9522,7.3215,6.7525,4.5703,B10ESTO,B
1.4993,3.8245,7.019,6.0415,1.5345,9.5162,3.5958,4.5469,7.3144,4.4308,6.3376,3.7693,7.106,8.7853,9.4016,6.9487,3.7582,10.0211,7.3215,B14FOVA,B
9.0228,8.5643,8.8172,6.2221,2.4966,8.7439,6.0408,3.2304,10.0918,8.9322,8.4362,3.8628,10.1617,12.3135,11.6311,3.7427,8.6674,4.3446,5.8241,B15GOGO,B
7.981,0.71348,5.4477,7.8437,7.4366,8.5699,7.0793,5.4911,4.8561,4.7384,1.4141,7.8487,4.2802,3.0937,7.6935,6.9938,9.249,1.5228,3.9804,B17ARTO,B
1.4092,3.6991,5.1057,3.6523,3.1093,4.3033,3.6346,1.4251,4.9944,7.5419,6.7199,7.8202,4.2116,6.149,6.895,1.9966,4.2332,5.819,5.458,B20RORA,B
2.3451,0,5.9349,0.7114,1.4925,2.3328,0.7057,3.003,7.3955,6.8517,7.3068,3.6098,6.419,6.72,6.9201,5.4869,1.4797,3.0839,6.7397,B21GUDE,B
7.5467,2.8507,0.66469,10.0346,6.8645,7.3669,5.2162,8.4786,9.9362,8.6281,5.729,7.3702,8.1018,5.2522,1.3575,5.2152,7.6045,9.7946,0.85906,B23VEZE,B
9.5342,9.5447,9.7122,4.7845,7.3199,7.3702,7.0678,5.9129,6.8541,3.401,7.9006,12.2963,7.0527,3.8168,5.4238,7.8333,5.8098,3.7681,4.6133,B25MEVI,B
6.6504,5.3542,8.3672,7.4704,6.9666,5.8899,6.1273,7.6664,3.8862,9.7026,4.9944,3.0638,3.769,6.4518,6.1101,0.7305,2.1293,2.1217,0.7305,B5ARMON,B
5.7314,5.5731,4.1537,1.3959,1.4956,0.85239,1.5621,0.69887,7.2437,7.3256,5.5221,1.4533,5.1946,8.106,6.2944,5.2349,3.688,1.4654,2.0918,B6SOMOD,B
9.1281,7.2392,6.1408,5.4325,5.6383,8.379,5.3681,6.7792,8.8203,10.3972,9.5602,6.661,9.0377,7.7126,7.52,5.1106,3.157,4.5997,6.6932,M10CAUR,M
5.7839,8.0317,8.3486,4.0882,3.1966,5.5329,0.79762,2.973,9.646,5.0821,4.9037,4.9842,6.3062,6.3692,7.4116,1.6713,5.2818,2.9924,5.7333,M11BADE,M
8.481,7.661,8.0237,9.886,2.2902,0,7.5889,7.4637,8.454,8.706,7.8383,8.5811,7.7508,2.3101,3.7652,4.2686,6.6634,1.3633,3.4802,M13FECA,M
7.767,8.0409,3.0851,8.2189,6.0623,6.4256,5.6762,10.0148,6.5695,9.4278,7.9737,5.7877,8.6747,5.0289,7.3863,2.3172,0,2.1998,4.7715,M16ARVE,M
11.5819,10.54,0,1.5025,0,6.7444,0,9.8912,10.3018,8.7309,8.4204,11.4483,11.4751,10.0471,11.084,5.967,10.6706,9.4904,8.7004,M17GOSE,M
3.6247,11.8255,7.5989,10.2571,6.1763,7.3378,7.5925,5.4836,7.2171,7.5299,9.0852,0.82379,5.1533,8.091,9.0413,6.3428,9.2696,7.1473,0.71655,M18HUME,M
2.2308,3.7571,7.0466,7.5107,4.1729,4.1314,4.2058,6.7721,5.8466,5.1068,6.8306,3.6709,3.6264,4.2932,6.758,2.0199,4.2693,4.0511,4.9996,M21SANA,M
5.6369,14.8168,14.6986,14.1888,12.9352,15.0586,15.2431,14.3331,15.2554,14.144,8.8852,5.682,16.0592,14.3705,14.0539,13.0514,12.7742,14.227,14.1473,M22HUGU,M
3.1258,3.8502,4.7215,5.8988,5.3044,4.606,3.224,4.1702,5.4214,3.9006,5.9979,4.627,7.4981,4.4357,4.2438,6.6176,2.3816,2.4007,2.3798,M23SACA,M
4.7259,1.4341,4.4463,4.1542,2.2624,5.9202,3.6018,3.5552,6.1793,2.1934,3.2353,4.6441,3.6645,0.67933,2.4935,2.8499,3.0402,3.814,1.5081,M25MAVI,M
5.8289,0.67177,6.5597,3.864,3.2253,1.47,3.4749,3.7411,6.6997,7.2229,2.8593,6.5393,6.7552,6.8061,7.2294,3.6028,6.6767,1.327,0.78131,M28NUCO,M
